Title,Year,Budget,Domestic Revenue,International Revenue,Worldwide Revenue,MPAA Rating,Run Time,Genre,Metacritic Mixed Reviews,Metacritic Negative Reviews,Metacritic Positive Reviews,Metascore,Users Mixed Reviews,Users Negative Reviews,Users Positive Reviews,Userscore
Glitter,2001,22000000,4274407,997259,5271666,PG-13,1 hr 44 min,Drama,3.0,20.0,0.0,14.0,9,59,31,3.6
Chicken Run,2000,45000000,106834564,118000000,224834564,,1 hr 24 min,Adventure,1.0,0.0,33.0,88.0,36,9,258,8.2
Fantastic Four,2005,100000000,154696080,178839854,333535934,PG-13,1 hr 46 min,Action,18.0,11.0,6.0,40.0,161,177,305,5.7
Frida,2002,12000000,25885000,30413474,56298474,R,2 hr 3 min,Biography,17.0,1.0,20.0,61.0,4,2,34,7.4
From Hell,2001,35000000,31602566,42955549,74558115,R,2 hr 2 min,Horror,10.0,7.0,15.0,54.0,23,37,54,5.2
The Lord of the Rings: The Fellowship of the Ring,2001,93000000,315544750,572288076,887832826,PG-13,2 hr 58 min,Action,1.0,0.0,33.0,92.0,50,59,"1,816",9.1
Mission: Impossible II,2000,125000000,215409889,330978219,546388108,PG-13,2 hr 3 min,Action,14.0,3.0,23.0,59.0,159,33,361,7.8
Resident Evil,2002,33000000,40119709,62865153,102984862,R,1 hr 40 min,Action,11.0,11.0,2.0,33.0,93,46,218,6.8
The Shipping News,2001,38000000,11434216,13256225,24690441,R,1 hr 51 min,Drama,18.0,3.0,10.0,47.0,8,0,9,7.2
X-Men,2000,75000000,157299718,139039810,296339528,PG-13,1 hr 44 min,Action,7.0,3.0,23.0,64.0,97,13,521,7.8
Men in Black II,2002,140000000,193735288,251400000,445135288,PG-13,1 hr 28 min,Action,21.0,5.0,11.0,49.0,130,25,109,6.4
Titan A.E.,2000,75000000,22753426,14001208,36754634,PG,1 hr 34 min,Action,15.0,5.0,10.0,48.0,13,6,114,8.6
The Emperor's New Groove,2000,100000000,89302687,80025000,169327687,,1 hr 18 min,Adventure,5.0,0.0,23.0,70.0,15,4,169,8.6
Star Wars: Episode II - Attack of the Clones,2002,115000000,310676740,343103230,653779970,PG,2 hr 22 min,Action,18.0,5.0,16.0,54.0,464,231,591,6
Star Wars: Episode III - Revenge of the Sith,2005,113000000,380270577,488119983,868390560,PG-13,2 hr 20 min,Action,11.0,1.0,28.0,68.0,265,150,"1,434",7.7
Return to Me,2000,24000000,32722798,3887197,36609995,PG,1 hr 55 min,Comedy,14.0,2.0,17.0,54.0,2,0,12,8.5
Heartbreakers,2001,35000000,40336607,17419801,57756408,PG-13,2 hr 3 min,Comedy,17.0,6.0,9.0,47.0,13,3,89,8.7
Shrek,2001,60000000,267665011,216744207,484409218,PG,1 hr 30 min,Adventure,3.0,0.0,31.0,84.0,32,15,767,8.8
Dinosaur,2000,127500000,137748063,212074702,349822765,PG,1 hr 22 min,Adventure,12.0,5.0,15.0,56.0,27,2,45,7.4
The Adventures of Rocky & Bullwinkle,2000,76000000,26005820,9129000,35134820,PG,1 hr 32 min,Adventure,8.0,13.0,9.0,36.0,11,5,10,5.7
Driven,2001,94000000,32720065,22024673,54744738,PG-13,1 hr 56 min,Action,5.0,0.0,3.0,58.0,1,0,2,tbd
Planet of the Apes,2001,100000000,180011740,182200000,362211740,PG-13,1 hr 59 min,Action,2.0,1.0,11.0,79.0,2,0,52,8.7
Treasure Planet,2002,140000000,38176783,71864580,110041363,PG,1 hr 35 min,Adventure,7.0,3.0,20.0,60.0,9,8,148,8.3
Scream 3,2000,40000000,89143175,72691101,161834276,R,1 hr 56 min,Horror,10.0,7.0,15.0,56.0,73,24,397,8.6
Duets,2000,21000000,4739023,1881219,6620242,R,1 hr 52 min,Comedy,14.0,11.0,4.0,40.0,3,1,15,8.3
Pitch Black,2000,23000000,39240659,13947000,53187659,R,1 hr 49 min,Horror,12.0,6.0,11.0,49.0,24,6,251,8.6
Supernova,2000,90000000,14230455,597626,14828081,PG-13,1 hr 30 min,Horror,1.0,17.0,1.0,19.0,11,9,10,5.3
The Road to El Dorado,2000,95000000,50863742,25568985,76432727,PG,1 hr 29 min,Adventure,18.0,2.0,9.0,51.0,17,10,69,7.2
The Yards,2000,24000000,889352,34684,924036,R,1 hr 55 min,Crime,10.0,2.0,19.0,58.0,2,1,26,8.6
Isn't She Great,2000,44000000,2962465,40831,3003296,R,1 hr 35 min,Biography,9.0,16.0,9.0,34.0,1,1,0,tbd
Town & Country,2001,90000000,6719973,3652318,10372291,R,1 hr 44 min,Comedy,,,,,,,,
U-571,2000,62000000,77122415,50544000,127666415,PG-13,1 hr 56 min,Action,11.0,2.0,22.0,62.0,10,6,28,6.7
American Psycho,2000,7000000,15070285,19196279,34266564,R,1 hr 41 min,Comedy,8.0,5.0,22.0,64.0,65,9,698,8.7
Nutty Professor II: The Klumps,2000,84000000,123309890,43030000,166339890,PG-13,1 hr 46 min,Comedy,12.0,14.0,8.0,38.0,12,7,12,6
Highlander: Endgame,2000,25000000,12811858,3031750,15843608,R,1 hr 27 min,Action,3.0,12.0,1.0,21.0,6,8,13,5.9
Spider-Man,2002,139000000,407022860,418002176,825025036,PG-13,2 hr 1 min,Action,6.0,0.0,32.0,73.0,81,30,"1,051",8.5
Thirteen Days,2000,80000000,34592089,31987801,66579890,PG-13,2 hr 25 min,Drama,6.0,2.0,23.0,67.0,5,1,21,7.6
Lara Croft: Tomb Raider,2001,115000000,131168070,143535270,274703340,PG-13,1 hr 40 min,Action,14.0,13.0,4.0,33.0,74,53,93,5.9
High Fidelity,2000,30000000,27287137,19839158,47126295,R,1 hr 53 min,Comedy,4.0,0.0,31.0,79.0,7,7,136,8.6
The Legend of Bagger Vance,2000,80000000,30919168,8540259,39459427,PG-13,2 hr 6 min,Drama,20.0,5.0,10.0,47.0,5,2,55,8.8
Where the Money Is,2000,28000000,5661798,1788616,7450414,PG-13,1 hr 29 min,Comedy,,,,,,,,
All the Pretty Horses,2000,57000000,15540353,2593142,18133495,PG-13,1 hr 56 min,Drama,13.0,3.0,13.0,55.0,3,2,9,6.9
Screwed,2000,10000000,7027345,174356,7201701,PG-13,1 hr 21 min,Comedy,,,,,,,,
My Dog Skip,2000,6000000,34134641,1413120,35547761,PG,1 hr 35 min,Comedy,11.0,0.0,15.0,61.0,3,2,17,7.9
The Next Best Thing,2000,25000000,14990582,9372190,24362772,PG-13,1 hr 48 min,Comedy,7.0,21.0,3.0,25.0,5,8,17,6.7
Clockstoppers,2002,26000000,36989956,1803327,38793283,PG,1 hr 34 min,Action,16.0,5.0,3.0,40.0,4,4,11,6.4
The Flintstones in Viva Rock Vegas,2000,83000000,35268275,24200000,59468275,PG,1 hr 30 min,Comedy,7.0,16.0,3.0,27.0,5,11,7,4.3
Behind Enemy Lines,2001,40000000,58856790,32896412,91753202,PG-13,1 hr 46 min,Action,14.0,5.0,10.0,49.0,14,12,33,6.2
Cold Mountain,2003,79000000,95636509,77377000,173013509,R,2 hr 34 min,Adventure,6.0,1.0,34.0,73.0,20,51,89,5.6
The Art of War,2000,60000000,30208599,10191826,40400425,R,1 hr 57 min,Action,,,,,,,,
Charlie's Angels,2000,93000000,125305545,138800000,264105545,PG-13,1 hr 38 min,Action,14.0,5.0,15.0,52.0,43,16,264,8.7
